state,avg_hum_spr,avg_hum_sum,avg_hum_fall,avg_hum_wint,avg_temp_spr,avg_temp_sum,avg_temp_fall,avg_temp_wint,avg_precip_spr,avg_precip_sum,avg_precip_fall,avg_precip_wint,avg_pressure_spr,avg_pressure_sum,avg_pressure_fall,avg_pressure_wint
North_Dakota,74.86813187,77.37362637,85.2826087,77.59782609,0.989010989,19.20879121,24.65217391,5.695652174,0.526373626,1.779120879,1.47826087,0.722826087,1022.230769,1014.868132,1017,1018.728261
Ohio,76.59340659,73.27472527,83.55434783,77.30434783,3.274725275,21.21978022,25.59782609,8.260869565,0.615384615,1.062637363,1.325,0.520652174,1022.175824,1015.032967,1017.380435,1018.815217
Oklahoma,57.40659341,64.14285714,66.10869565,64.68478261,12.28571429,27.27472527,31.33695652,13.88043478,0.778021978,1.851648352,2.82173913,1.041304348,1020.967033,1013.065934,1014.978261,1018.858696
Oregon,76.86813187,65.6043956,57.67391304,70.81521739,9.527472527,19.48351648,26.07608696,12.5,2.78021978,1.076923077,0.211956522,2.769565217,1019.263736,1017.43956,1017.271739,1020.021739
Pennsylvania,76.92307692,77.61538462,84.02173913,82.09782609,3.10989011,19.64835165,25.02173913,7.304347826,1.796703297,2.161538462,3.245652174,2.55,1021.527473,1016.087912,1018.945652,1019.01087
Rhode_Island,73.54945055,72.78021978,77.94565217,71.31521739,5,17.98901099,25.70652174,9.967391304,1.372527473,0.559340659,1.255434783,0.82173913,1018.373626,1015.868132,1019.065217,1017.25
South_Carolina,62.34065934,47.38461538,37.08695652,47.81521739,25.76923077,20.76923077,22.34782609,26.85869565,1.256043956,0.216483516,0.034782609,1.607608696,1014.846154,1021.274725,1021.684783,1016.554348
South_Dakota,82.82417582,73.10989011,67.45652174,75.22826087,-4.131868132,18.6043956,25.88043478,2.597826087,0.597802198,1.620879121,1.410869565,0.619565217,1023.307692,1014.43956,1015.576087,1019.51087
Tennessee,72.27472527,73.7032967,81.19565217,74.27173913,3.549450549,22.67032967,26.9673913,8.413043478,0.203296703,0.382417582,0.515217391,0.248913043,1022.417582,1014.274725,1016.663043,1019.130435
Texas,76.53846154,73.71428571,75,74.85869565,18.07692308,27.36263736,30.58695652,20.92391304,1.543956044,2.212087912,7.352173913,2.535869565,1020.956044,1015.186813,1015.597826,1017.826087
Utah,65.43956044,42.38461538,27.72826087,45.92391304,-1.384615385,14.30769231,19.63043478,3.554347826,0.478021978,0.427472527,0.005434783,0.227173913,1021.175824,1013.956044,1010.945652,1022.086957
Vermont,74.31868132,76.54945055,76.76086957,75.54347826,26.24175824,27.2967033,28.34782609,27.64130435,0.995604396,0.863736264,1.192391304,1.4,1015.978022,1016.637363,1015.271739,1014.630435
Virginia,75.75824176,77.53846154,77.88043478,73.44565217,8.032967033,21.23076923,27.86956522,15.05434783,0.275824176,0.56043956,0.877173913,0.556521739,1021.692308,1016.340659,1018.032609,1019.108696
Washington,63.43956044,62.25274725,67.63043478,66.44565217,8.087912088,24.50549451,29.9673913,12.70652174,0.891208791,3.168131868,3.425,1.62173913,1021.56044,1016.043956,1018.478261,1019.184783
West_Virginia,74.15384615,76.86813187,81.27173913,77.93478261,5.21978022,20.71428571,25.84782609,9.173913043,1.801098901,2.791208791,2.754347826,2.057608696,1021.857143,1015.956044,1018.586957,1019.271739
Wisconsin,80.85714286,78.54945055,79.43478261,79.01086957,-1.747252747,17.47252747,24.43478261,3.217391304,0.254945055,1.153846154,1.456521739,0.692391304,1022.318681,1015.384615,1016.815217,1018.543478
Wyoming,75.51648352,75.74725275,77.56521739,78.95652174,1.362637363,18.02197802,25.26086957,5.934782609,1,1.356043956,1.365217391,1.119565217,1021.505495,1015.230769,1017.184783,1018.271739
